Analysis_Type,Threshold_pct,Signal,SL_pct,SG_pct,Operacoes,PL_pts_total,PL_pts_medio,PL_BRL_total,PL_BRL_medio,PL_BRL_max,PL_BRL_min,PL_pct_medio,SG_hits,SL_hits,EOD_hits,WinRate_pct,LossRate_pct,Recomendada,periodo,tipo_periodo
open_vs_prev_close,1%,SELL,0.0075,0.0075,41,20518.5,500.4512,4103.73,100.091,244.8,-239.68,0.3476,30,11,0,73.17,26.83,True,2025-06-01_2026-01-01,semestral
open_vs_prev_max_high,1%,SELL,0.005,0.005,17,6698.4,394.0235,1339.67,78.8041,163.58,-157.94,0.2647,13,4,0,76.47,23.53,True,2025-06-01_2026-01-01,semestral
open_vs_prev_max_high,1%,SELL,0.005,0.0075,17,7696.83,452.7547,1539.34,90.5494,245.37,-160.22,0.3088,11,6,0,64.71,35.29,True,2025-06-01_2026-01-01,semestral
open_vs_prev_max_high,1%,SELL,0.0075,0.005,17,5235.65,307.9794,1047.13,61.5959,163.58,-236.91,0.2059,13,4,0,76.47,23.53,True,2025-06-01_2026-01-01,semestral
open_vs_prev_max_high,1%,SELL,0.0075,0.0075,17,5471.38,321.8459,1094.26,64.3682,245.37,-240.33,0.2206,11,6,0,64.71,35.29,True,2025-06-01_2026-01-01,semestral
open_vs_prev_min_low,1%,BUY,0.005,0.005,12,4310.61,359.2175,862.12,71.8433,160.14,-157.72,0.25,9,3,0,75.0,25.0,True,2025-06-01_2026-01-01,semestral
open_vs_prev_min_low,1%,BUY,0.0075,0.005,12,3235.4,269.6167,647.08,53.9233,160.14,-236.58,0.1875,9,3,0,75.0,25.0,True,2025-06-01_2026-01-01,semestral
open_vs_prev_open,2%,SELL,0.005,0.005,15,3809.24,253.9493,761.84,50.7893,164.99,-161.78,0.1667,10,5,0,66.67,33.33,True,2025-06-01_2026-01-01,semestral
open_vs_prev_open,2%,SELL,0.005,0.0075,15,7565.19,504.346,1513.04,100.8693,247.49,-161.78,0.3333,10,5,0,66.67,33.33,True,2025-06-01_2026-01-01,semestral
open_vs_prev_open,2%,SELL,0.0075,0.005,15,5497.38,366.492,1099.46,73.2973,164.99,-242.68,0.25,12,3,0,80.0,20.0,True,2025-06-01_2026-01-01,semestral
open_vs_prev_open,2%,SELL,0.0075,0.0075,15,9961.23,664.082,1992.23,132.8153,247.49,-242.68,0.45,12,3,0,80.0,20.0,True,2025-06-01_2026-01-01,semestral
open_vs_prev_open,2%,SELL,0.0075,0.0075,14,5386.84,384.7743,1077.36,76.9543,284.95,-278.66,0.2143,9,5,0,64.29,35.71,True,2026-01-01_2026-03-01,semestral
