Signal_Date,Ticker,Analysis_Type,Reference_Price,Reference_DT,Signal,Threshold_pct,Entry_Price,Entry_DT,SG_Natural,SL_pct,SG_pct,SL_price,SG_price,Deduped
2026-01-05,^BVSP,open_vs_prev_close,160535.81,2026-01-02 16:00:00,SELL,1%,162141.17,2026-01-05 16:00:00,,0.002,0.002,162465.45,161816.89,False
2026-01-05,^BVSP,open_vs_prev_close,160535.81,2026-01-02 16:00:00,SELL,1%,162141.17,2026-01-05 16:00:00,,0.002,0.005,162465.45,161330.46,False
2026-01-05,^BVSP,open_vs_prev_close,160535.81,2026-01-02 16:00:00,SELL,1%,162141.17,2026-01-05 16:00:00,,0.002,0.0075,162465.45,160925.11,False
2026-01-05,^BVSP,open_vs_prev_close,160535.81,2026-01-02 16:00:00,SELL,1%,162141.17,2026-01-05 16:00:00,,0.005,0.002,162951.88,161816.89,False
2026-01-05,^BVSP,open_vs_prev_close,160535.81,2026-01-02 16:00:00,SELL,1%,162141.17,2026-01-05 16:00:00,,0.005,0.005,162951.88,161330.46,False
2026-01-05,^BVSP,open_vs_prev_close,160535.81,2026-01-02 16:00:00,SELL,1%,162141.17,2026-01-05 16:00:00,,0.005,0.0075,162951.88,160925.11,False
2026-01-05,^BVSP,open_vs_prev_close,160535.81,2026-01-02 16:00:00,SELL,1%,162141.17,2026-01-05 16:00:00,,0.0075,0.002,163357.23,161816.89,False
2026-01-05,^BVSP,open_vs_prev_close,160535.81,2026-01-02 16:00:00,SELL,1%,162141.17,2026-01-05 16:00:00,,0.0075,0.005,163357.23,161330.46,False
2026-01-05,^BVSP,open_vs_prev_close,160535.81,2026-01-02 16:00:00,SELL,1%,162141.17,2026-01-05 16:00:00,,0.0075,0.0075,163357.23,160925.11,False
2026-01-06,^BVSP,open_vs_prev_open,160542.05,2026-01-05 10:00:00,SELL,1%,162147.47,2026-01-06 10:00:00,,0.002,0.002,162471.76,161823.18,False
2026-01-06,^BVSP,open_vs_prev_open,160542.05,2026-01-05 10:00:00,SELL,1%,162147.47,2026-01-06 10:00:00,,0.002,0.005,162471.76,161336.73,False
2026-01-06,^BVSP,open_vs_prev_open,160542.05,2026-01-05 10:00:00,SELL,1%,162147.47,2026-01-06 10:00:00,,0.002,0.0075,162471.76,160931.36,False
