Signal_Date,Ticker,Analysis_Type,Reference_Price,Reference_DT,Signal,Threshold_pct,Entry_Price,Entry_DT,SG_Natural,SL_pct,SG_pct,SL_price,SG_price,Deduped
2024-06-04,^BVSP,open_vs_prev_open_trend_off_ew_off,122099.95,2024-06-03 10:00:00,BUY,1%,120878.95,2024-06-04 11:00:00,,0.002,0.002,120637.19,121120.71,False
2024-06-04,^BVSP,open_vs_prev_open_trend_off_ew_off,122099.95,2024-06-03 10:00:00,BUY,1%,120878.95,2024-06-04 11:00:00,,0.002,0.005,120637.19,121483.34,False
2024-06-04,^BVSP,open_vs_prev_open_trend_off_ew_off,122099.95,2024-06-03 10:00:00,BUY,1%,120878.95,2024-06-04 11:00:00,,0.002,0.0075,120637.19,121785.54,False
2024-06-04,^BVSP,open_vs_prev_open_trend_off_ew_off,122099.95,2024-06-03 10:00:00,BUY,1%,120878.95,2024-06-04 11:00:00,,0.002,0.01,120637.19,122087.74,False
2024-06-04,^BVSP,open_vs_prev_open_trend_off_ew_off,122099.95,2024-06-03 10:00:00,BUY,1%,120878.95,2024-06-04 11:00:00,,0.005,0.002,120274.56,121120.71,False
2024-06-04,^BVSP,open_vs_prev_open_trend_off_ew_off,122099.95,2024-06-03 10:00:00,BUY,1%,120878.95,2024-06-04 11:00:00,,0.005,0.005,120274.56,121483.34,False
2024-06-04,^BVSP,open_vs_prev_open_trend_off_ew_off,122099.95,2024-06-03 10:00:00,BUY,1%,120878.95,2024-06-04 11:00:00,,0.005,0.0075,120274.56,121785.54,False
2024-06-04,^BVSP,open_vs_prev_open_trend_off_ew_off,122099.95,2024-06-03 10:00:00,BUY,1%,120878.95,2024-06-04 11:00:00,,0.005,0.01,120274.56,122087.74,False
2024-06-04,^BVSP,open_vs_prev_open_trend_off_ew_off,122099.95,2024-06-03 10:00:00,BUY,1%,120878.95,2024-06-04 11:00:00,,0.0075,0.002,119972.36,121120.71,False
2024-06-04,^BVSP,open_vs_prev_open_trend_off_ew_off,122099.95,2024-06-03 10:00:00,BUY,1%,120878.95,2024-06-04 11:00:00,,0.0075,0.005,119972.36,121483.34,False
2024-06-04,^BVSP,open_vs_prev_open_trend_off_ew_off,122099.95,2024-06-03 10:00:00,BUY,1%,120878.95,2024-06-04 11:00:00,,0.0075,0.0075,119972.36,121785.54,False
2024-06-04,^BVSP,open_vs_prev_open_trend_off_ew_off,122099.95,2024-06-03 10:00:00,BUY,1%,120878.95,2024-06-04 11:00:00,,0.0075,0.01,119972.36,122087.74,False
2024-06-04,^BVSP,open_vs_prev_open_trend_off_ew_off,122099.95,2024-06-03 10:00:00,BUY,1%,120878.95,2024-06-04 11:00:00,,0.01,0.002,119670.16,121120.71,False
2024-06-04,^BVSP,open_vs_prev_open_trend_off_ew_off,122099.95,2024-06-03 10:00:00,BUY,1%,120878.95,2024-06-04 11:00:00,,0.01,0.005,119670.16,121483.34,False
2024-06-04,^BVSP,open_vs_prev_open_trend_off_ew_off,122099.95,2024-06-03 10:00:00,BUY,1%,120878.95,2024-06-04 11:00:00,,0.01,0.0075,119670.16,121785.54,False
2024-06-04,^BVSP,open_vs_prev_open_trend_off_ew_off,122099.95,2024-06-03 10:00:00,BUY,1%,120878.95,2024-06-04 11:00:00,,0.01,0.01,119670.16,122087.74,False
2024-06-04,^BVSP,open_vs_prev_close_trend_off_ew_off,122180.11,2024-06-03 16:00:00,BUY,1%,120958.31,2024-06-04 11:00:00,,0.002,0.002,120716.39,121200.23,False
2024-06-04,^BVSP,open_vs_prev_close_trend_off_ew_off,122180.11,2024-06-03 16:00:00,BUY,1%,120958.31,2024-06-04 11:00:00,,0.002,0.005,120716.39,121563.1,False
2024-06-04,^BVSP,open_vs_prev_close_trend_off_ew_off,122180.11,2024-06-03 16:00:00,BUY,1%,120958.31,2024-06-04 11:00:00,,0.002,0.0075,120716.39,121865.5,False
2024-06-04,^BVSP,open_vs_prev_close_trend_off_ew_off,122180.11,2024-06-03 16:00:00,BUY,1%,120958.31,2024-06-04 11:00:00,,0.002,0.01,120716.39,122167.89,False
2024-06-04,^BVSP,open_vs_prev_close_trend_off_ew_off,122180.11,2024-06-03 16:00:00,BUY,1%,120958.31,2024-06-04 11:00:00,,0.005,0.002,120353.52,121200.23,False
2024-06-04,^BVSP,open_vs_prev_close_trend_off_ew_off,122180.11,2024-06-03 16:00:00,BUY,1%,120958.31,2024-06-04 11:00:00,,0.005,0.005,120353.52,121563.1,False
2024-06-04,^BVSP,open_vs_prev_close_trend_off_ew_off,122180.11,2024-06-03 16:00:00,BUY,1%,120958.31,2024-06-04 11:00:00,,0.005,0.0075,120353.52,121865.5,False
2024-06-04,^BVSP,open_vs_prev_close_trend_off_ew_off,122180.11,2024-06-03 16:00:00,BUY,1%,120958.31,2024-06-04 11:00:00,,0.005,0.01,120353.52,122167.89,False
2024-06-04,^BVSP,open_vs_prev_close_trend_off_ew_off,122180.11,2024-06-03 16:00:00,BUY,1%,120958.31,2024-06-04 11:00:00,,0.0075,0.002,120051.12,121200.23,False
2024-06-04,^BVSP,open_vs_prev_close_trend_off_ew_off,122180.11,2024-06-03 16:00:00,BUY,1%,120958.31,2024-06-04 11:00:00,,0.0075,0.005,120051.12,121563.1,False
2024-06-04,^BVSP,open_vs_prev_close_trend_off_ew_off,122180.11,2024-06-03 16:00:00,BUY,1%,120958.31,2024-06-04 11:00:00,,0.0075,0.0075,120051.12,121865.5,False
2024-06-04,^BVSP,open_vs_prev_close_trend_off_ew_off,122180.11,2024-06-03 16:00:00,BUY,1%,120958.31,2024-06-04 11:00:00,,0.0075,0.01,120051.12,122167.89,False
2024-06-04,^BVSP,open_vs_prev_close_trend_off_ew_off,122180.11,2024-06-03 16:00:00,BUY,1%,120958.31,2024-06-04 11:00:00,,0.01,0.002,119748.73,121200.23,False
2024-06-04,^BVSP,open_vs_prev_close_trend_off_ew_off,122180.11,2024-06-03 16:00:00,BUY,1%,120958.31,2024-06-04 11:00:00,,0.01,0.005,119748.73,121563.1,False
2024-06-04,^BVSP,open_vs_prev_close_trend_off_ew_off,122180.11,2024-06-03 16:00:00,BUY,1%,120958.31,2024-06-04 11:00:00,,0.01,0.0075,119748.73,121865.5,False
2024-06-04,^BVSP,open_vs_prev_close_trend_off_ew_off,122180.11,2024-06-03 16:00:00,BUY,1%,120958.31,2024-06-04 11:00:00,,0.01,0.01,119748.73,122167.89,False
2024-06-06,^BVSP,open_vs_prev_close_trend_off_ew_off,121374.05,2024-06-05 16:00:00,SELL,1%,122587.79,2024-06-06 10:00:00,,0.002,0.002,122832.97,122342.61,False
