Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-02-20 10:00:00,129602.92,129818.37,129574.19,129753.09,0.0,0.0,0.0
2024-02-20 11:00:00,129602.92,129818.37,129574.19,129753.09,0.0,0.0,0.0
2024-02-20 12:00:00,129602.92,129818.37,129574.19,129753.09,0.0,0.0,0.0
2024-02-20 13:00:00,129771.86,129771.86,129480.19,129480.19,0.0,0.0,0.0
2024-02-20 14:00:00,129466.09,129729.23,129429.88,129711.45,0.0,0.0,0.0
2024-02-20 15:00:00,129734.18,129759.43,129517.36,129623.65,0.0,0.0,0.0
2024-02-20 16:00:00,129611.63,129708.52,129473.88,129658.75,0.0,0.0,0.0
2024-02-21 10:00:00,129915.73,129917.33,129573.17,129675.56,0.0,0.0,0.0
2024-02-21 11:00:00,129695.71,130033.91,129639.76,129798.44,0.0,0.0,0.0
2024-02-21 12:00:00,129811.08,129901.7,129577.25,129709.22,0.0,0.0,0.0
2024-02-21 13:00:00,129725.34,129929.12,129604.13,129864.73,0.0,0.0,0.0
2024-02-21 14:00:00,129879.01,129945.37,129446.73,129455.76,0.0,0.0,0.0
2024-02-21 15:00:00,129427.99,129789.54,129358.66,129731.21,0.0,0.0,0.0
2024-02-21 16:00:00,129720.3,129950.66,129633.01,129892.1,0.0,0.0,0.0
2024-02-22 10:00:00,130034.97,130829.45,130034.77,130578.34,0.0,0.0,0.0
2024-02-22 11:00:00,130538.65,130606.86,130211.41,130297.88,0.0,0.0,0.0
2024-02-22 12:00:00,130284.2,130308.73,129985.19,130046.58,0.0,0.0,0.0
2024-02-22 13:00:00,130107.06,130283.05,130076.53,130241.05,0.0,0.0,0.0
2024-02-22 14:00:00,130244.11,130337.42,130050.07,130092.77,0.0,0.0,0.0
2024-02-22 15:00:00,130052.11,130462.1,129970.8,130462.1,0.0,0.0,0.0
2024-02-22 16:00:00,130461.45,130690.13,130412.46,130449.55,0.0,0.0,0.0
2024-02-23 10:00:00,130240.23,130624.33,130229.81,130264.74,0.0,0.0,0.0
2024-02-23 11:00:00,130267.2,130267.2,129651.73,129775.77,0.0,0.0,0.0
2024-02-23 12:00:00,129792.64,129835.66,129531.15,129586.45,0.0,0.0,0.0
2024-02-23 13:00:00,129518.39,129556.28,129077.28,129399.37,0.0,0.0,0.0
2024-02-23 14:00:00,129423.05,129687.15,129423.05,129667.67,0.0,0.0,0.0
2024-02-23 15:00:00,129647.85,129722.59,129374.2,129416.32,0.0,0.0,0.0
2024-02-23 16:00:00,129411.73,129434.48,129190.98,129383.33,0.0,0.0,0.0
2024-02-26 10:00:00,129416.99,129977.73,129076.84,129911.65,0.0,0.0,0.0
